date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:14:47	36692/36692	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202019%2013:34:16%20GMT	https://antwar.io/	C:/Users/PC.ismailGoda/Pictures/ant/antwar.io/index.html	(from )
08:14:47	149/149	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Jan%202020%2006:14:47%20GMT	https://antwar.io/robots.txt		(from )
08:14:48	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Jan%202020%2006:14:49%20GMT	http://antwar.io/css/styles.css?v=1576676070958	C:/Users/PC.ismailGoda/Pictures/ant/antwar.io/css/styles.18035.delayed	(from https://antwar.io/)
08:14:53	150867/150867	---MCZ	200	added ('OK')	text/css	date:Sun,%2011%20Nov%202018%2002:56:31%20GMT	https://antwar.io/css/styles.css?v=1576676070958	C:/Users/PC.ismailGoda/Pictures/ant/antwar.io/css/styles8035.css	(from https://antwar.io/)
08:14:58	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/PC.ismailGoda/Pictures/ant/www.google-analytics.com/analytics.js	(from https://antwar.io/)
08:15:05	35142/35142	---M-Z	200	added ('OK')	application/javascript	etag:%228d44edf90f25d914c0eb467a39e4d210%22	https://cdn.ravenjs.com/3.24.0/raven.min.js	C:/Users/PC.ismailGoda/Pictures/ant/cdn.ravenjs.com/3.24.0/raven.min.js	(from https://antwar.io/)
08:15:10	48779/48779	---MC-	200	added ('OK')	application/javascript	date:Fri,%2003%20Jan%202020%2006:14:55%20GMT	https://apis.google.com/js/platform.js	C:/Users/PC.ismailGoda/Pictures/ant/apis.google.com/js/platform.js	(from https://antwar.io/)
08:15:21	98651/98651	---M--	200	added ('OK')	image/gif	etag:W/%221815b-166d1043891%22	http://antwar.io/assets/loading.gif	C:/Users/PC.ismailGoda/Pictures/ant/antwar.io/assets/loading.gif	(from https://antwar.io/)
08:15:22	1793/1793	---M--	200	added ('OK')	image/png	etag:W/%22701-166d1043895%22	http://antwar.io/assets/rank_icon.png	C:/Users/PC.ismailGoda/Pictures/ant/antwar.io/assets/rank_icon.png	(from https://antwar.io/)
08:15:23	1856/1856	---M--	200	added ('OK')	image/png	etag:W/%22740-166d1043891%22	http://antwar.io/assets/money_icon.png	C:/Users/PC.ismailGoda/Pictures/ant/antwar.io/assets/money_icon.png	(from https://antwar.io/)
08:15:25	12225/12225	---M--	200	added ('OK')	image/png	etag:W/%222fc1-166d1043891%22	http://antwar.io/assets/logo.png	C:/Users/PC.ismailGoda/Pictures/ant/antwar.io/assets/logo.png	(from https://antwar.io/)
08:15:26	2504/2504	---M--	200	added ('OK')	image/png	etag:W/%229c8-166d104388d%22	http://antwar.io/assets/discord_logo.png	C:/Users/PC.ismailGoda/Pictures/ant/antwar.io/assets/discord_logo.png	(from https://antwar.io/)
08:15:26	259011/259011	---MC-	200	added ('OK')	application/javascript	etag:W/%223f3c3-58da322f07ab9-gzip%22	http://api.adinplay.com/libs/aiptag/pub/RBZ/antwar.io/tag.min.js	C:/Users/PC.ismailGoda/Pictures/ant/api.adinplay.com/libs/aiptag/pub/RBZ/antwar.io/tag.min.js	(from https://antwar.io/)
08:15:27	1652/1652	---M--	200	added ('OK')	image/png	etag:W/%22674-166d1043895%22	http://antwar.io/assets/patreon_button.png	C:/Users/PC.ismailGoda/Pictures/ant/antwar.io/assets/patreon_button.png	(from https://antwar.io/)
08:15:33	200229/200229	---M--	200	added ('OK')	image/png	etag:W/%2230e25-166d10438a1%22	http://antwar.io/assets/screenshot_lowres.png	C:/Users/PC.ismailGoda/Pictures/ant/antwar.io/assets/screenshot_lowres.png	(from https://antwar.io/)
08:15:34	951/951	---M--	502	error ('Bad%20Gateway')	text/html	date:Fri,%2003%20Jan%202020%2006:12:53%20GMT	https://spacegolf.io/assets/screenshot.png	C:/Users/PC.ismailGoda/Pictures/ant/spacegolf.io/assets/screenshot.e.delayed	(from https://antwar.io/)
08:15:38	3558/3558	---M--	200	added ('OK')	image/svg+xml	etag:W/%22de6-16700b30626%22	http://antwar.io/assets/powered_by_stripe.svg	C:/Users/PC.ismailGoda/Pictures/ant/antwar.io/assets/powered_by_stripe.svg	(from https://antwar.io/)
